name,brand,link,rating,votes,genre
Imagination,Louis Vuitton,https://www.parfumo.com/Perfumes/Louis_Vuitton/imagination,8.9,8802,Men
Layton,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Layton,8.6,8626,Men
Dior Homme Intense (2011),Dior,https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense_2011,8.5,8411,Men
Aventus,Creed,https://www.parfumo.com/Perfumes/Creed/aventus,8.4,8216,Men
Reflection Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Reflection_Man,8.6,6191,Men
L'Homme,Prada,https://www.parfumo.com/Perfumes/Prada/L_Homme,8.4,7483,Men
Spicebomb Extreme,Viktor & Rolf,https://www.parfumo.com/Perfumes/Viktor_Rolf/Spicebomb_Extreme,8.4,6348,Men
Le Mâle Le Parfum,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-le-parfum,8.4,5241,Men
La Nuit de L'Homme  Eau de Toilette,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/La_Nuit_de_L_Homme_Eau_de_Toilette,8.4,5088,Men
Althaïr,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/althair,8.4,4857,Men
The One for Men (2015)  Eau de Parfum,Dolce & Gabbana,https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-for-men-eau-de-parfum-2015,8.4,4406,Men
Noir Extreme  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-eau-de-parfum,8.4,4261,Men
Bleu de Chanel  Eau de Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel_Eau_de_Parfum,8.2,5435,Men
Acqua di Giò Profumo  Parfum,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/Acqua_di_Gio_Profumo,8.3,4920,Men
Emporio Armani - Stronger with You Intensely,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-intensely,8.3,4631,Men
Dior Homme Parfum (2014),Dior,https://www.parfumo.com/Perfumes/Dior/dior-homme-parfum-2014,8.7,2918,Men
Terre d'Hermès  Eau de Toilette,Hermès,https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Eau_de_Toilette,8.1,5023,Men
Allure Homme Sport Eau Extrême,Chanel,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Sport_Eau_Extrme,8.3,4151,Men
L'Homme Idéal  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/L_Homme_Ideal_Eau_de_Parfum,8.4,3561,Men
Allure Homme Édition Blanche  Eau de Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Edition_Blanche_Eau_de_Parfum,8.5,2877,Men
Le Mâle Elixir,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-elixir,8.3,3505,Men
Elysium pour Homme  Eau de Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/elysium-pour-homme-eau-de-parfum-1,8.4,3048,Men
Luna Rossa Black,Prada,https://www.parfumo.com/Perfumes/Prada/Luna_Rossa_Black,8.3,3374,Men
Sauvage Elixir,Dior,https://www.parfumo.com/Perfumes/Dior/sauvage-elixir,8.1,3951,Men
Reflection 45,Amouage,https://www.parfumo.com/Perfumes/Amouage/reflection-45,8.8,1948,Men
Turathi (Blue),Afnan Perfumes,https://www.parfumo.com/Perfumes/Afnan_Perfumes/turathi-blue,8.1,3537,Men
Jubilation XXV Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Jubilation_25_for_Men,8.3,2751,Men
Bleu de Chanel Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel_Parfum,8.3,2725,Men
Jump Up and Kiss Me Hedonistic,Clive Christian,https://www.parfumo.com/Perfumes/Clive_Christian/jump-up-and-kiss-me-hedonistic,8.9,1636,Men
Sauvage  Eau de Toilette,Dior,https://www.parfumo.com/Perfumes/Dior/Sauvage_Eau_de_Toilette,7.5,6377,Men
Layton Exclusif,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Layton_Exclusif,8.3,2640,Men
L'Homme Intense,Prada,https://www.parfumo.com/Perfumes/Prada/L_Homme_Intense,8.4,2454,Men
